idx,xunet_prob_stego,srnet_prob_stego,xunet_detected,srnet_detected,detected_any,secret_psnr_y,ber_secret,mask_mean,alpha
0,0.355712890625,0.2259521484375,0,0,0,36.041141510009766,0.019246419891715,0.71875,0.0596151202917099
1,0.325439453125,0.264892578125,0,0,0,32.806358337402344,0.0153859462589025,0.72021484375,0.0596151202917099
2,0.477294921875,0.321044921875,0,0,0,32.78630447387695,0.0280812587589025,0.72021484375,0.0596151202917099
3,0.43408203125,0.35986328125,0,0,0,31.494651794433597,0.0139312744140625,0.72119140625,0.0596151202917099
4,0.446533203125,0.2044677734375,0,0,0,29.62819099426269,0.008082072250545,0.72021484375,0.0596151202917099
5,0.454833984375,0.307861328125,0,0,0,31.268442153930664,0.01598103903234,0.72021484375,0.0596151202917099
6,0.3388671875,0.2452392578125,0,0,0,35.16658020019531,0.0331217460334301,0.720703125,0.0596151202917099
7,0.4853515625,0.309326171875,0,0,0,34.56071853637695,0.0115102138370275,0.71875,0.0596151202917099
8,0.4091796875,0.3466796875,0,0,0,29.898584365844727,0.0394490584731102,0.7197265625,0.0596151202917099
9,0.471435546875,0.3271484375,0,0,0,32.21036148071289,0.014424642547965,0.7197265625,0.0596151202917099
10,0.411376953125,0.28369140625,0,0,0,34.40522003173828,0.0318756103515625,0.720703125,0.0596151202917099
11,0.2230224609375,0.296630859375,0,0,0,29.93876266479492,0.0441029891371727,0.71875,0.0596151202917099
12,0.50927734375,0.383056640625,1,0,1,29.986778259277344,0.0459645614027977,0.72119140625,0.0596151202917099
13,0.47412109375,0.363037109375,0,0,0,28.60687255859375,0.0526072196662426,0.71923828125,0.0596151202917099
14,0.52783203125,0.3701171875,1,0,1,30.185531616210938,0.0278727225959301,0.720703125,0.0596151202917099
15,0.344970703125,0.1724853515625,0,0,0,28.98907470703125,0.0235137939453125,0.72265625,0.0596151202917099
16,0.439697265625,0.2880859375,0,0,0,28.10405921936035,0.0387624129652977,0.72119140625,0.0596151202917099
17,0.28662109375,0.313720703125,0,0,0,27.414241790771484,0.0446268729865551,0.72216796875,0.0596151202917099
18,0.47607421875,0.3056640625,0,0,0,31.258886337280277,0.0225067138671875,0.72021484375,0.0596151202917099
19,0.38330078125,0.28466796875,0,0,0,33.17550277709961,0.0237223319709301,0.71923828125,0.0596151202917099
20,0.42724609375,0.3515625,0,0,0,32.9523811340332,0.0174967460334301,0.720703125,0.0596151202917099
21,0.47900390625,0.290283203125,0,0,0,28.7187557220459,0.0338592529296875,0.71875,0.0596151202917099
22,0.456787109375,0.317138671875,0,0,0,30.93470001220703,0.0291493739932775,0.72119140625,0.0596151202917099
23,0.468017578125,0.372802734375,0,0,0,32.70060729980469,0.0317128524184227,0.71875,0.0596151202917099
24,0.4052734375,0.23583984375,0,0,0,29.77654457092285,0.0352630615234375,0.72021484375,0.0596151202917099
25,0.3310546875,0.2734375,0,0,0,27.38081359863281,0.0326690673828125,0.7216796875,0.0596151202917099
26,0.47265625,0.3515625,0,0,0,31.546611785888672,0.0383199080824852,0.71923828125,0.0596151202917099
27,0.351806640625,0.2337646484375,0,0,0,27.603967666625977,0.0939992293715477,0.7216796875,0.0596151202917099
28,0.3828125,0.309814453125,0,0,0,34.467567443847656,0.0156962089240551,0.72119140625,0.0596151202917099
29,0.34765625,0.2548828125,0,0,0,30.650745391845703,0.0491892509162426,0.71923828125,0.0596151202917099
30,0.420654296875,0.325439453125,0,0,0,30.43507575988769,0.0214284267276525,0.720703125,0.0596151202917099
31,0.49072265625,0.45556640625,0,0,0,30.641508102416992,0.0226593017578125,0.7197265625,0.0596151202917099
32,0.417236328125,0.42333984375,0,0,0,33.268646240234375,0.024749755859375,0.72021484375,0.0596151202917099
33,0.425048828125,0.35205078125,0,0,0,33.0163688659668,0.0086822509765625,0.7197265625,0.0596151202917099
34,0.4736328125,0.1893310546875,0,0,0,28.568527221679688,0.0323689803481102,0.71826171875,0.0596151202917099
35,0.384765625,0.39306640625,0,0,0,32.81611633300781,0.015218099579215,0.72021484375,0.0596151202917099
36,0.4404296875,0.343505859375,0,0,0,27.94366836547852,0.0512034110724926,0.71923828125,0.0596151202917099
37,0.39404296875,0.240966796875,0,0,0,30.067960739135746,0.026509603485465,0.7216796875,0.0596151202917099
38,0.34814453125,0.30078125,0,0,0,31.930009841918945,0.0194753017276525,0.71923828125,0.0596151202917099
39,0.28857421875,0.2900390625,0,0,0,31.908424377441406,0.0466105155646801,0.72216796875,0.0596151202917099
40,0.362060546875,0.303955078125,0,0,0,32.43354797363281,0.0108439130708575,0.72021484375,0.0596151202917099
41,0.41650390625,0.357177734375,0,0,0,33.99113464355469,0.01634724996984,0.7197265625,0.0596151202917099
42,0.48486328125,0.306884765625,0,0,0,33.26189422607422,0.0172271728515625,0.71923828125,0.0596151202917099
43,0.46826171875,0.288818359375,0,0,0,34.198081970214844,0.0019480388145893,0.7197265625,0.0596151202917099
44,0.480224609375,0.3857421875,0,0,0,31.69095039367676,0.026519775390625,0.7197265625,0.0596151202917099
45,0.448974609375,0.373046875,0,0,0,25.642757415771484,0.0555063895881176,0.7197265625,0.0596151202917099
46,0.466796875,0.349853515625,0,0,0,30.00136375427246,0.0443267822265625,0.720703125,0.0596151202917099
47,0.358642578125,0.382080078125,0,0,0,30.90898323059082,0.01427205465734,0.71875,0.0596151202917099
48,0.51904296875,0.336181640625,1,0,1,31.27023696899414,0.0159403495490551,0.71923828125,0.0596151202917099
49,0.44140625,0.32666015625,0,0,0,30.606380462646484,0.0313161239027977,0.720703125,0.0596151202917099
50,0.454833984375,0.306396484375,0,0,0,34.2563591003418,0.02123006246984,0.72021484375,0.0596151202917099
51,0.4794921875,0.283203125,0,0,0,31.616172790527344,0.042755126953125,0.7197265625,0.0596151202917099
52,0.51318359375,0.322265625,1,0,1,36.031517028808594,0.0242462158203125,0.71875,0.0596151202917099
53,0.50927734375,0.358642578125,1,0,1,32.99478530883789,0.0280812587589025,0.7197265625,0.0596151202917099
54,0.459228515625,0.28369140625,0,0,0,33.45042419433594,0.00896199606359,0.7197265625,0.0596151202917099
55,0.301025390625,0.289794921875,0,0,0,27.92644500732422,0.0465087890625,0.720703125,0.0596151202917099
56,0.40869140625,0.1483154296875,0,0,0,32.399208068847656,0.0198822021484375,0.71875,0.0596151202917099
57,0.472900390625,0.314453125,0,0,0,32.549217224121094,0.017974853515625,0.720703125,0.0596151202917099
58,0.418701171875,0.3232421875,0,0,0,37.11349105834961,0.0002288818359375,0.720703125,0.0596151202917099
59,0.39599609375,0.2398681640625,0,0,0,30.466716766357425,0.0441945418715477,0.71728515625,0.0596151202917099
60,0.475341796875,0.315673828125,0,0,0,37.9259033203125,0.0017954509239643,0.72021484375,0.0596151202917099
61,0.37060546875,0.3583984375,0,0,0,29.672283172607425,0.023681640625,0.7197265625,0.0596151202917099
