idx,cover_path,secret_path,mean_abs_stego_minus_cover,max_abs_stego_minus_cover,alpha
860,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000860_000000502854.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000860_000000168527.jpg,0.0037797698751091957,0.0430799163877964,0.059643033891916275
861,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000861_000000546154.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000861_000000476040.jpg,0.001432624994777143,0.027767561376094818,0.059643033891916275
862,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000862_000000074894.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000862_000000250680.jpg,0.0018526370404288173,0.04323667287826538,0.059643033891916275
863,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000863_000000504970.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000863_000000003264.jpg,0.0021521924063563347,0.04304635524749756,0.059643033891916275
864,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000864_000000549668.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000864_000000432328.jpg,0.0023016345221549273,0.04753687232732773,0.059643033891916275
865,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000865_000000140080.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000865_000000147856.jpg,0.0019057041499763727,0.0283927321434021,0.059643033891916275
866,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000866_000000157815.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000866_000000413871.jpg,0.002062596147879958,0.0383414626121521,0.059643033891916275
867,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000867_000000364860.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000867_000000278744.jpg,0.003719792701303959,0.05821940302848816,0.059643033891916275
868,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000868_000000274491.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000868_000000104393.jpg,0.003065035678446293,0.047105953097343445,0.059643033891916275
869,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000869_000000155376.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000869_000000324155.jpg,0.003924116026610136,0.05545845627784729,0.059643033891916275
